Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000098744	Ranbp2-ps7	RAN binding protein 2, pseudogene 7 [Source:MGI Symbol;Acc:MGI:5521057]	
ENSMUSG00000024978	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial [Source:MGI Symbol;Acc:MGI:109162]	14732
ENSMUSG00000101132	Gm8000	predicted gene 8000 [Source:MGI Symbol;Acc:MGI:3648432]	
ENSMUSG00000036854	Hspb6	heat shock protein, alpha-crystallin-related, B6 [Source:MGI Symbol;Acc:MGI:2685325]	243912
ENSMUSG00000036560	Lgi4	leucine-rich repeat LGI family, member 4 [Source:MGI Symbol;Acc:MGI:2180197]	243914
ENSMUSG00000039236	Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	57444
ENSMUSG00000036864	Proser3	proline and serine rich 3 [Source:MGI Symbol;Acc:MGI:2681861]	333193
ENSMUSG00000063867	Olfr1511	olfactory receptor 1511 [Source:MGI Symbol;Acc:MGI:3031345]	258268
ENSMUSG00000062647	Rpl7a	ribosomal protein L7A [Source:MGI Symbol;Acc:MGI:1353472]	27176
ENSMUSG00000062647	Rpl7a	ribosomal protein L7A [Source:MGI Symbol;Acc:MGI:1353472]	105245385
ENSMUSG00000106633	Gm43431	predicted gene 43431 [Source:MGI Symbol;Acc:MGI:5663568]	
ENSMUSG00000051811	Cox6b2	cytochrome c oxidase subunit VIb polypeptide 2 [Source:MGI Symbol;Acc:MGI:3044182]	333182
ENSMUSG00000040866	Rsph6a	radial spoke head 6 homolog A (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1927643]	83434
ENSMUSG00000079049	Serpinb1c	serine (or cysteine) peptidase inhibitor, clade B, member 1c [Source:MGI Symbol;Acc:MGI:2445363]	380839
ENSMUSG00000109375	RP23-378L12.1		
ENSMUSG00000028347	Tmeff1	transmembrane protein with EGF-like and two follistatin-like domains 1 [Source:MGI Symbol;Acc:MGI:1926810]	230157
ENSMUSG00000105013	Gm7721	predicted gene 7721 [Source:MGI Symbol;Acc:MGI:3644419]	
ENSMUSG00000109102	RP24-471H15.6		
ENSMUSG00000028042	Zbtb7b	zinc finger and BTB domain containing 7B [Source:MGI Symbol;Acc:MGI:102755]	22724
ENSMUSG00000057092	Fxyd3	FXYD domain-containing ion transport regulator 3 [Source:MGI Symbol;Acc:MGI:107497]	17178
ENSMUSG00000036845	Lin37	lin-37 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1922910]	75660
ENSMUSG00000063106	Olfr1510	olfactory receptor 1510 [Source:MGI Symbol;Acc:MGI:3031344]	258423
ENSMUSG00000023088	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:MGI Symbol;Acc:MGI:102676]	17250
ENSMUSG00000039218	Srrm2	serine/arginine repetitive matrix 2 [Source:MGI Symbol;Acc:MGI:1923206]	75956
ENSMUSG00000103457	Gm37042	predicted gene, 37042 [Source:MGI Symbol;Acc:MGI:5610270]	
ENSMUSG00000094854	Gm5334	predicted pseudogene 5334 [Source:MGI Symbol;Acc:MGI:3644545]	
ENSMUSG00000108876	RP24-70M5.1		
ENSMUSG00000105132	Gm43250	predicted gene 43250 [Source:MGI Symbol;Acc:MGI:5663387]	
ENSMUSG00000076758	Trav1	T cell receptor alpha variable 1 [Source:MGI Symbol;Acc:MGI:3651476]	
ENSMUSG00000055737	Ghr	growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708]	14600
ENSMUSG00000108515	Olfr717-ps1	olfactory receptor 717, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030551]	
ENSMUSG00000074466	Gm15417	predicted gene 15417 [Source:MGI Symbol;Acc:MGI:3642531]	
ENSMUSG00000036805	Noxa1	NADPH oxidase activator 1 [Source:MGI Symbol;Acc:MGI:2449980]	241275
ENSMUSG00000046258	Adam29	a disintegrin and metallopeptidase domain 29 [Source:MGI Symbol;Acc:MGI:2676326]	244486
ENSMUSG00000037349	Nudt22	nudix (nucleoside diphosphate linked moiety X)-type motif 22 [Source:MGI Symbol;Acc:MGI:1915573]	68323
ENSMUSG00000086185	1700036O09Rik	RIKEN cDNA 1700036O09 gene [Source:MGI Symbol;Acc:MGI:1920512]	
ENSMUSG00000024340	Btnl2	butyrophilin-like 2 [Source:MGI Symbol;Acc:MGI:1859549]	547431
ENSMUSG00000081563	Gm12635	predicted gene 12635 [Source:MGI Symbol;Acc:MGI:3650766]	
ENSMUSG00000097732	D930048G16Rik	RIKEN cDNA D930048G16 gene [Source:MGI Symbol;Acc:MGI:4437732]	
ENSMUSG00000083010	Gm14687	predicted gene 14687 [Source:MGI Symbol;Acc:MGI:3705460]	
ENSMUSG00000061540	Orm2	orosomucoid 2 [Source:MGI Symbol;Acc:MGI:97444]	18406
ENSMUSG00000106634	Gm43042	predicted gene 43042 [Source:MGI Symbol;Acc:MGI:5663179]	
ENSMUSG00000083416	Gm15378	predicted gene 15378 [Source:MGI Symbol;Acc:MGI:3707457]	
ENSMUSG00000107859	Gm30731	predicted gene, 30731 [Source:MGI Symbol;Acc:MGI:5589890]	
ENSMUSG00000029288	Ambn	ameloblastin [Source:MGI Symbol;Acc:MGI:104655]	11698
ENSMUSG00000079578	Gm1140	predicted gene 1140 [Source:MGI Symbol;Acc:MGI:2685986]	382217
ENSMUSG00000079578	Gm1140	predicted gene 1140 [Source:MGI Symbol;Acc:MGI:2685986]	666842
ENSMUSG00000082502	Gm12636	predicted gene 12636 [Source:MGI Symbol;Acc:MGI:3650767]	
ENSMUSG00000029413	Naaa	N-acylethanolamine acid amidase [Source:MGI Symbol;Acc:MGI:1914361]	67111
ENSMUSG00000104889	Gm43043	predicted gene 43043 [Source:MGI Symbol;Acc:MGI:5663180]	
ENSMUSG00000020388	Pdlim4	PDZ and LIM domain 4 [Source:MGI Symbol;Acc:MGI:1353470]	30794
ENSMUSG00000082622	Gm12632	predicted gene 12632 [Source:MGI Symbol;Acc:MGI:3650967]	
ENSMUSG00000079962	Gm12643	predicted gene 12643 [Source:MGI Symbol;Acc:MGI:3649676]	
ENSMUSG00000104563	Gm43041	predicted gene 43041 [Source:MGI Symbol;Acc:MGI:5663178]	
ENSMUSG00000091705	H2-Q2	histocompatibility 2, Q region locus 2 [Source:MGI Symbol;Acc:MGI:95931]	15013
ENSMUSG00000081876	Gm12644	predicted gene 12644 [Source:MGI Symbol;Acc:MGI:3649677]	
ENSMUSG00000024670	Cd6	CD6 antigen [Source:MGI Symbol;Acc:MGI:103566]	12511
