Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000076394	Gm25991	predicted gene, 25991 [Source:MGI Symbol;Acc:MGI:5455768]	
ENSMUSG00000080673	Gm23336	predicted gene, 23336 [Source:MGI Symbol;Acc:MGI:5453113]	
ENSMUSG00000098415	Mir6928	microRNA 6928 [Source:MGI Symbol;Acc:MGI:5531110]	
ENSMUSG00000021713	Ppwd1	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:MGI Symbol;Acc:MGI:2443069]	238831
ENSMUSG00000098980	Mir6397	microRNA 6397 [Source:MGI Symbol;Acc:MGI:5531386]	
ENSMUSG00000065627	Gm24803	predicted gene, 24803 [Source:MGI Symbol;Acc:MGI:5454580]	
ENSMUSG00000088585	Gm22963	predicted gene, 22963 [Source:MGI Symbol;Acc:MGI:5452740]	
ENSMUSG00000089596	Nron	non-protein coding RNA, repressor of NFAT [Source:MGI Symbol;Acc:MGI:2444126]	
ENSMUSG00000099213	Gm27686	predicted gene, 27686 [Source:MGI Symbol;Acc:MGI:5531068]	
ENSMUSG00000021945	Zmym2	zinc finger, MYM-type 2 [Source:MGI Symbol;Acc:MGI:1923257]	76007
ENSMUSG00000096136	Gm25146	predicted gene, 25146 [Source:MGI Symbol;Acc:MGI:5454923]	
ENSMUSG00000093967	Gm26180	predicted gene, 26180 [Source:MGI Symbol;Acc:MGI:5455957]	
ENSMUSG00000064967	Gm24405	predicted gene, 24405 [Source:MGI Symbol;Acc:MGI:5454182]	
ENSMUSG00000089000	Gm23853	predicted gene, 23853 [Source:MGI Symbol;Acc:MGI:5453630]	
ENSMUSG00000104689	Gm44482	predicted gene, 44482 [Source:MGI Symbol;Acc:MGI:5690874]	
ENSMUSG00000084473	Gm25784	predicted gene, 25784 [Source:MGI Symbol;Acc:MGI:5455561]	
ENSMUSG00000021101	4930408O17Rik	RIKEN cDNA 4930408O17 gene [Source:MGI Symbol;Acc:MGI:1921178]	
ENSMUSG00000089134	Gm24767	predicted gene, 24767 [Source:MGI Symbol;Acc:MGI:5454544]	
ENSMUSG00000065200	Gm24613	predicted gene, 24613 [Source:MGI Symbol;Acc:MGI:5454390]	
ENSMUSG00000089046	Gm26172	predicted gene, 26172 [Source:MGI Symbol;Acc:MGI:5455949]	
ENSMUSG00000087756	Gm23469	predicted gene, 23469 [Source:MGI Symbol;Acc:MGI:5453246]	
ENSMUSG00000025894	Aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:MGI Symbol;Acc:MGI:1914868]	67618
ENSMUSG00000094037	Gm24652	predicted gene, 24652 [Source:MGI Symbol;Acc:MGI:5454429]	
ENSMUSG00000065454	Mir124a-3	microRNA 124a-3 [Source:MGI Symbol;Acc:MGI:3618704]	
ENSMUSG00000097407	4933408J17Rik	RIKEN cDNA 4933408J17 gene [Source:MGI Symbol;Acc:MGI:1921704]	
ENSMUSG00000096126	Gm22307	predicted gene, 22307 [Source:MGI Symbol;Acc:MGI:5452084]	
ENSMUSG00000088005	Gm24787	predicted gene, 24787 [Source:MGI Symbol;Acc:MGI:5454564]	
ENSMUSG00000094148	Gm24952	predicted gene, 24952 [Source:MGI Symbol;Acc:MGI:5454729]	
ENSMUSG00000099334	Gm26379	predicted gene, 26379 [Source:MGI Symbol;Acc:MGI:5456156]	
ENSMUSG00000089070	Gm24498	predicted gene, 24498 [Source:MGI Symbol;Acc:MGI:5454275]	
ENSMUSG00000065476	Mir30b	microRNA 30b [Source:MGI Symbol;Acc:MGI:2676908]	
ENSMUSG00000064858	Snora43	small nucleolar RNA, H/ACA box 43 [Source:MGI Symbol;Acc:MGI:4360066]	
ENSMUSG00000021958	Pinx1	PIN2/TERF1 interacting, telomerase inhibitor 1 [Source:MGI Symbol;Acc:MGI:1919650]	72400
ENSMUSG00000077194	Gm23431	predicted gene, 23431 [Source:MGI Symbol;Acc:MGI:5453208]	
ENSMUSG00000094753	Gm25017	predicted gene, 25017 [Source:MGI Symbol;Acc:MGI:5454794]	
ENSMUSG00000024966	Stip1	stress-induced phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:109130]	20867
ENSMUSG00000062103	Olfr924	olfactory receptor 924 [Source:MGI Symbol;Acc:MGI:3030758]	404322
ENSMUSG00000087765	Gm23985	predicted gene, 23985 [Source:MGI Symbol;Acc:MGI:5453762]	
ENSMUSG00000065852	Gm22353	predicted gene, 22353 [Source:MGI Symbol;Acc:MGI:5452130]	
ENSMUSG00000043050	Tnp2	transition protein 2 [Source:MGI Symbol;Acc:MGI:98785]	21959
ENSMUSG00000077433	Gm22593	predicted gene, 22593 [Source:MGI Symbol;Acc:MGI:5452370]	
ENSMUSG00000053226	Dand5	DAN domain family member 5, BMP antagonist [Source:MGI Symbol;Acc:MGI:1344365]	23863
ENSMUSG00000098624	Mir7036	microRNA 7036 [Source:MGI Symbol;Acc:MGI:5531355]	
ENSMUSG00000024241	Sos1	son of sevenless homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:98354]	20662
ENSMUSG00000088989	Gm25605	predicted gene, 25605 [Source:MGI Symbol;Acc:MGI:5455382]	
ENSMUSG00000032315	Cyp1a1	cytochrome P450, family 1, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88588]	13076
ENSMUSG00000080405	Gm23651	predicted gene, 23651 [Source:MGI Symbol;Acc:MGI:5453428]	
ENSMUSG00000084444	n-R5s32	nuclear encoded rRNA 5S 32 [Source:MGI Symbol;Acc:MGI:4421877]	
ENSMUSG00000095290	Gm24196	predicted gene, 24196 [Source:MGI Symbol;Acc:MGI:5453973]	
ENSMUSG00000064387	Snora73a	small nucleolar RNA, H/ACA box 73a [Source:MGI Symbol;Acc:MGI:4360046]	
ENSMUSG00000024302	Dtna	dystrobrevin alpha [Source:MGI Symbol;Acc:MGI:106039]	13527
ENSMUSG00000065215	Gm26263	predicted gene, 26263 [Source:MGI Symbol;Acc:MGI:5456040]	
ENSMUSG00000024384	Iws1	IWS1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920723]	73473
ENSMUSG00000088403	Gm25888	predicted gene, 25888 [Source:MGI Symbol;Acc:MGI:5455665]	
ENSMUSG00000032398	Snapc5	small nuclear RNA activating complex, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1914282]	330959
ENSMUSG00000094864	Gm17521	predicted gene, 17521 [Source:MGI Symbol;Acc:MGI:4937155]	
ENSMUSG00000095704	Gm8221	predicted gene 8221 [Source:MGI Symbol;Acc:MGI:3779789]	
ENSMUSG00000022123	Scel	sciellin [Source:MGI Symbol;Acc:MGI:1891228]	64929
ENSMUSG00000078128	Gm2178	predicted gene 2178 [Source:MGI Symbol;Acc:MGI:3780348]	
ENSMUSG00000024660	Incenp	inner centromere protein [Source:MGI Symbol;Acc:MGI:1313288]	16319
ENSMUSG00000091639	Gm3756	predicted gene 3756 [Source:MGI Symbol;Acc:MGI:3781931]	
ENSMUSG00000096874	Gm10312	predicted gene 10312 [Source:MGI Symbol;Acc:MGI:3642243]	
ENSMUSG00000070236	Gm26327	predicted gene, 26327 [Source:MGI Symbol;Acc:MGI:5456104]	
ENSMUSG00000088296	Gm26409	predicted gene, 26409 [Source:MGI Symbol;Acc:MGI:5456186]	
ENSMUSG00000088853	Gm24730	predicted gene, 24730 [Source:MGI Symbol;Acc:MGI:5454507]	
ENSMUSG00000088269	Gm24777	predicted gene, 24777 [Source:MGI Symbol;Acc:MGI:5454554]	
ENSMUSG00000040957	Cables1	CDK5 and Abl enzyme substrate 1 [Source:MGI Symbol;Acc:MGI:1927065]	63955
ENSMUSG00000099155	Gm27805	predicted gene, 27805 [Source:MGI Symbol;Acc:MGI:5531187]	
ENSMUSG00000098273	Mir6346	microRNA 6346 [Source:MGI Symbol;Acc:MGI:5531211]	
ENSMUSG00000062078	Qk	quaking [Source:MGI Symbol;Acc:MGI:97837]	19317
ENSMUSG00000098305	Gm27781	predicted gene, 27781 [Source:MGI Symbol;Acc:MGI:5531163]	
ENSMUSG00000106561	AC151967.1		
ENSMUSG00000094050	Gm23472	predicted gene, 23472 [Source:MGI Symbol;Acc:MGI:5453249]	
ENSMUSG00000077539	Gm22546	predicted gene, 22546 [Source:MGI Symbol;Acc:MGI:5452323]	
ENSMUSG00000088020	Gm22762	predicted gene, 22762 [Source:MGI Symbol;Acc:MGI:5452539]	
ENSMUSG00000087741	Gm23827	predicted gene, 23827 [Source:MGI Symbol;Acc:MGI:5453604]	
ENSMUSG00000002804	Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14 [Source:MGI Symbol;Acc:MGI:1913424]	66174
ENSMUSG00000005357	Slc1a6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6 [Source:MGI Symbol;Acc:MGI:1096331]	20513
ENSMUSG00000061808	Ttr	transthyretin [Source:MGI Symbol;Acc:MGI:98865]	22139
ENSMUSG00000087921	Gm23228	predicted gene, 23228 [Source:MGI Symbol;Acc:MGI:5453005]	
ENSMUSG00000094997	Gm22047	predicted gene, 22047 [Source:MGI Symbol;Acc:MGI:5451824]	
ENSMUSG00000087993	Mir1982	microRNA 1982 [Source:MGI Symbol;Acc:MGI:3837227]	
ENSMUSG00000065548	Mir29c	microRNA 29c [Source:MGI Symbol;Acc:MGI:2676906]	
ENSMUSG00000077672	Gm24472	predicted gene, 24472 [Source:MGI Symbol;Acc:MGI:5454249]	
ENSMUSG00000039308	Ndst2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2 [Source:MGI Symbol;Acc:MGI:97040]	17423
ENSMUSG00000095165	Gm25547	predicted gene, 25547 [Source:MGI Symbol;Acc:MGI:5455324]	
ENSMUSG00000088659	Gm24845	predicted gene, 24845 [Source:MGI Symbol;Acc:MGI:5454622]	
ENSMUSG00000098717	Gm28032	predicted gene, 28032 [Source:MGI Symbol;Acc:MGI:5531414]	
ENSMUSG00000022129	Dct	dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:102563]	13190
ENSMUSG00000064408	Gm23924	predicted gene, 23924 [Source:MGI Symbol;Acc:MGI:5453701]	
ENSMUSG00000088791	Gm22542	predicted gene, 22542 [Source:MGI Symbol;Acc:MGI:5452319]	
ENSMUSG00000024317	Rnf138	ring finger protein 138 [Source:MGI Symbol;Acc:MGI:1929211]	56515
ENSMUSG00000077359	Gm25308	predicted gene, 25308 [Source:MGI Symbol;Acc:MGI:5455085]	
ENSMUSG00000098712	Mir7010	microRNA 7010 [Source:MGI Symbol;Acc:MGI:5531411]	
ENSMUSG00000088051	Gm26150	predicted gene, 26150 [Source:MGI Symbol;Acc:MGI:5455927]	
ENSMUSG00000031533	Mrps31	mitochondrial ribosomal protein S31 [Source:MGI Symbol;Acc:MGI:1913153]	57312
ENSMUSG00000099123	Mir6965	microRNA 6965 [Source:MGI Symbol;Acc:MGI:5530706]	
ENSMUSG00000077096	Gm22015	predicted gene, 22015 [Source:MGI Symbol;Acc:MGI:5451792]	
ENSMUSG00000020307	Cdc34	cell division cycle 34 [Source:MGI Symbol;Acc:MGI:102657]	216150
ENSMUSG00000065599	Mir23b	microRNA 23b [Source:MGI Symbol;Acc:MGI:2676898]	
ENSMUSG00000095477	Gm25076	predicted gene, 25076 [Source:MGI Symbol;Acc:MGI:5454853]	
ENSMUSG00000038299	Wdr36	WD repeat domain 36 [Source:MGI Symbol;Acc:MGI:1917819]	225348
ENSMUSG00000094656	Gm25358	predicted gene, 25358 [Source:MGI Symbol;Acc:MGI:5455135]	
ENSMUSG00000092074	Dynlt1a	dynein light chain Tctex-type 1A [Source:MGI Symbol;Acc:MGI:3807506]	100310872
ENSMUSG00000053729	Spinkl	serine protease inhibitor, Kazal type-like [Source:MGI Symbol;Acc:MGI:1924674]	77424
ENSMUSG00000088060	Gm24475	predicted gene, 24475 [Source:MGI Symbol;Acc:MGI:5454252]	
ENSMUSG00000076233	Gm22761	predicted gene, 22761 [Source:MGI Symbol;Acc:MGI:5452538]	
ENSMUSG00000065561	Mir369	microRNA 369 [Source:MGI Symbol;Acc:MGI:3619374]	
ENSMUSG00000061983	Rps12	ribosomal protein S12 [Source:MGI Symbol;Acc:MGI:98105]	20042
ENSMUSG00000098489	Mir7678	microRNA 7678 [Source:MGI Symbol;Acc:MGI:5530770]	
ENSMUSG00000024261	Syt4	synaptotagmin IV [Source:MGI Symbol;Acc:MGI:101759]	20983
ENSMUSG00000099323	Gm28016	predicted gene, 28016 [Source:MGI Symbol;Acc:MGI:5531398]	
ENSMUSG00000076357	Mir653	microRNA 653 [Source:MGI Symbol;Acc:MGI:3718555]	
ENSMUSG00000035781	R3hdm4	R3H domain containing 4 [Source:MGI Symbol;Acc:MGI:1924814]	109284
ENSMUSG00000105908	Mir6920	microRNA 6920 [Source:MGI Symbol;Acc:MGI:5562731]	
ENSMUSG00000065845	Gm25189	predicted gene, 25189 [Source:MGI Symbol;Acc:MGI:5454966]	
ENSMUSG00000021363	Mak	male germ cell-associated kinase [Source:MGI Symbol;Acc:MGI:96913]	17152
ENSMUSG00000065807	Gm23038	predicted gene, 23038 [Source:MGI Symbol;Acc:MGI:5452815]	
ENSMUSG00000089028	Gm25010	predicted gene, 25010 [Source:MGI Symbol;Acc:MGI:5454787]	
ENSMUSG00000105435	Gm44355	predicted gene, 44355 [Source:MGI Symbol;Acc:MGI:5690747]	
ENSMUSG00000077356	Gm26288	predicted gene, 26288 [Source:MGI Symbol;Acc:MGI:5456065]	
ENSMUSG00000095175	Gm22722	predicted gene, 22722 [Source:MGI Symbol;Acc:MGI:5452499]	
ENSMUSG00000099300	Mir6356	microRNA 6356 [Source:MGI Symbol;Acc:MGI:5530843]	
ENSMUSG00000056228	Cars2	cysteinyl-tRNA synthetase 2 (mitochondrial)(putative) [Source:MGI Symbol;Acc:MGI:1919191]	71941
ENSMUSG00000084532	n-R5s218	nuclear encoded rRNA 5S 218 [Source:MGI Symbol;Acc:MGI:4422083]	
ENSMUSG00000002658	Gtf2f1	general transcription factor IIF, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1923848]	98053
ENSMUSG00000084459	Gm24598	predicted gene, 24598 [Source:MGI Symbol;Acc:MGI:5454375]	
ENSMUSG00000099291	Rnu3b3	U3B small nuclear RNA 3 [Source:MGI Symbol;Acc:MGI:97987]	
ENSMUSG00000037343	Taf2	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:2443028]	319944
ENSMUSG00000080486	Snord100	small nucleolar RNA, C/D box 100 [Source:MGI Symbol;Acc:MGI:3819514]	
ENSMUSG00000098478	Gm27851	predicted gene, 27851 [Source:MGI Symbol;Acc:MGI:5531233]	
ENSMUSG00000093780	Gm22395	predicted gene, 22395 [Source:MGI Symbol;Acc:MGI:5452172]	
ENSMUSG00000070081	Mir505	microRNA 505 [Source:MGI Symbol;Acc:MGI:3629955]	
ENSMUSG00000092653	Gm25243	predicted gene, 25243 [Source:MGI Symbol;Acc:MGI:5455020]	
ENSMUSG00000099287	Gm27987	predicted gene, 27987 [Source:MGI Symbol;Acc:MGI:5531369]	
ENSMUSG00000025076	Casp7	caspase 7 [Source:MGI Symbol;Acc:MGI:109383]	12369
ENSMUSG00000021814	Anxa7	annexin A7 [Source:MGI Symbol;Acc:MGI:88031]	11750
ENSMUSG00000004931	Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:MGI Symbol;Acc:MGI:1888527]	57267
ENSMUSG00000021027	Ralgapa1	Ral GTPase activating protein, alpha subunit 1 [Source:MGI Symbol;Acc:MGI:1931050]	56784
ENSMUSG00000023892	Zfp51	zinc finger protein 51 [Source:MGI Symbol;Acc:MGI:99198]	22709
ENSMUSG00000039540	4921524L21Rik	RIKEN cDNA 4921524L21 gene [Source:MGI Symbol;Acc:MGI:1918151]	70901
ENSMUSG00000039628	Hs3st6	heparan sulfate (glucosamine) 3-O-sulfotransferase 6 [Source:MGI Symbol;Acc:MGI:3580487]	328779
ENSMUSG00000022358	Fbxo32	F-box protein 32 [Source:MGI Symbol;Acc:MGI:1914981]	67731
ENSMUSG00000021890	Eaf1	ELL associated factor 1 [Source:MGI Symbol;Acc:MGI:1921677]	74427
ENSMUSG00000094870	Zfp131	zinc finger protein 131 [Source:MGI Symbol;Acc:MGI:1919715]	72465
ENSMUSG00000095677	Dynlt1f	dynein light chain Tctex-type 1F [Source:MGI Symbol;Acc:MGI:3780996]	100040531
ENSMUSG00000037085	Trmt12	tRNA methyltranferase 12 [Source:MGI Symbol;Acc:MGI:1915510]	68260
ENSMUSG00000063787	Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:MGI Symbol;Acc:MGI:1913371]	66121
ENSMUSG00000048516	Adam26a	a disintegrin and metallopeptidase domain 26A (testase 3) [Source:MGI Symbol;Acc:MGI:105985]	13525
ENSMUSG00000031508	Ankrd10	ankyrin repeat domain 10 [Source:MGI Symbol;Acc:MGI:1921840]	102334
ENSMUSG00000041949	Tango6	transport and golgi organization 6 [Source:MGI Symbol;Acc:MGI:2142786]	272538
ENSMUSG00000078963	Hsbp1l1	heat shock factor binding protein 1-like 1 [Source:MGI Symbol;Acc:MGI:1913505]	66255
ENSMUSG00000006818	Sod2	superoxide dismutase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:98352]	20656
ENSMUSG00000022887	Masp1	mannan-binding lectin serine peptidase 1 [Source:MGI Symbol;Acc:MGI:88492]	17174
ENSMUSG00000050578	Mmp13	matrix metallopeptidase 13 [Source:MGI Symbol;Acc:MGI:1340026]	17386
ENSMUSG00000046916	Myct1	myc target 1 [Source:MGI Symbol;Acc:MGI:1915882]	68632
ENSMUSG00000001988	Npas1	neuronal PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109205]	18142
ENSMUSG00000034863	Ano8	anoctamin 8 [Source:MGI Symbol;Acc:MGI:2687327]	382014
ENSMUSG00000047995	Cypt4	cysteine-rich perinuclear theca 4 [Source:MGI Symbol;Acc:MGI:1916573]	235067
ENSMUSG00000047995	Cypt4	cysteine-rich perinuclear theca 4 [Source:MGI Symbol;Acc:MGI:1916573]	664724
ENSMUSG00000047995	Cypt4	cysteine-rich perinuclear theca 4 [Source:MGI Symbol;Acc:MGI:1916573]	664726
ENSMUSG00000021895	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3 [Source:MGI Symbol;Acc:MGI:1918954]	71704
ENSMUSG00000038916	Soga3	SOGA family member 3 [Source:MGI Symbol;Acc:MGI:1914662]	67412
ENSMUSG00000095294	Gm21119	predicted gene, 21119 [Source:MGI Symbol;Acc:MGI:5434474]	100861668
ENSMUSG00000075122	Cd80	CD80 antigen [Source:MGI Symbol;Acc:MGI:101775]	12519
ENSMUSG00000033669	Zfp7	zinc finger protein 7 [Source:MGI Symbol;Acc:MGI:99208]	223669
ENSMUSG00000031965	Tbx20	T-box 20 [Source:MGI Symbol;Acc:MGI:1888496]	57246
ENSMUSG00000002688	Prkd1	protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]	18760
ENSMUSG00000037465	Klf10	Kruppel-like factor 10 [Source:MGI Symbol;Acc:MGI:1101353]	21847
ENSMUSG00000036977	Anapc10	anaphase promoting complex subunit 10 [Source:MGI Symbol;Acc:MGI:1916249]	68999
ENSMUSG00000095325	Zfp870	zinc finger protein 870 [Source:MGI Symbol;Acc:MGI:3029586]	240066
ENSMUSG00000060691	Krtap19-1	keratin associated protein 19-1 [Source:MGI Symbol;Acc:MGI:2157755]	170657
ENSMUSG00000015441	Gzmf	granzyme F [Source:MGI Symbol;Acc:MGI:109254]	14943
ENSMUSG00000000088	Cox5a	cytochrome c oxidase subunit Va [Source:MGI Symbol;Acc:MGI:88474]	12858
ENSMUSG00000062369	Usp17lb	ubiquitin specific peptidase 17-like B [Source:MGI Symbol;Acc:MGI:3051498]	381944
ENSMUSG00000062713	Sim2	single-minded homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:98307]	20465
ENSMUSG00000091650	Apol11a	apolipoprotein L 11a [Source:MGI Symbol;Acc:MGI:3649094]	626615
ENSMUSG00000039529	Atp8b1	ATPase, class I, type 8B, member 1 [Source:MGI Symbol;Acc:MGI:1859665]	54670
ENSMUSG00000032334	Loxl1	lysyl oxidase-like 1 [Source:MGI Symbol;Acc:MGI:106096]	16949
ENSMUSG00000022350	E430025E21Rik	RIKEN cDNA E430025E21 gene [Source:MGI Symbol;Acc:MGI:2146110]	223593
ENSMUSG00000061603	Akap6	A kinase (PRKA) anchor protein 6 [Source:MGI Symbol;Acc:MGI:3050566]	238161
ENSMUSG00000090897	Esp6Esp5	Esp6-Esp5 readthrough transcript [Source:MGI Symbol;Acc:MGI:5529083]	102577427
ENSMUSG00000090897	Esp6Esp5	Esp6-Esp5 readthrough transcript [Source:MGI Symbol;Acc:MGI:5529083]	102577428
ENSMUSG00000035235	Trim13	tripartite motif-containing 13 [Source:MGI Symbol;Acc:MGI:1913847]	66597
ENSMUSG00000025804	Ccr1	chemokine (C-C motif) receptor 1 [Source:MGI Symbol;Acc:MGI:104618]	12768
ENSMUSG00000061315	Naca	nascent polypeptide-associated complex alpha polypeptide [Source:MGI Symbol;Acc:MGI:106095]	17938
ENSMUSG00000048546	Tob2	transducer of ERBB2, 2 [Source:MGI Symbol;Acc:MGI:1888525]	57259
ENSMUSG00000093795	Gm9476	predicted gene 9476 [Source:MGI Symbol;Acc:MGI:3779885]	
ENSMUSG00000046922	Gpr6	G protein-coupled receptor 6 [Source:MGI Symbol;Acc:MGI:2155249]	140741
ENSMUSG00000095019	AC234645.1		
ENSMUSG00000078444	Gm10941	predicted gene 10941 [Source:MGI Symbol;Acc:MGI:3779151]	
ENSMUSG00000091732	Gm17541	predicted gene, 17541 [Source:MGI Symbol;Acc:MGI:4937175]	
ENSMUSG00000076051	Mir707	microRNA 707 [Source:MGI Symbol;Acc:MGI:3629685]	
ENSMUSG00000031590	Frg1	FSHD region gene 1 [Source:MGI Symbol;Acc:MGI:893597]	14300
ENSMUSG00000094690	1600014C23Rik	RIKEN cDNA 1600014C23 gene [Source:MGI Symbol;Acc:MGI:1919490]	72240
ENSMUSG00000098606	Mir6903	microRNA 6903 [Source:MGI Symbol;Acc:MGI:5531179]	
ENSMUSG00000088697	Gm22332	predicted gene, 22332 [Source:MGI Symbol;Acc:MGI:5452109]	
ENSMUSG00000039601	Rcan2	regulator of calcineurin 2 [Source:MGI Symbol;Acc:MGI:1858219]	53901
ENSMUSG00000093161	Gm22183	predicted gene, 22183 [Source:MGI Symbol;Acc:MGI:5451960]	
ENSMUSG00000084457	n-R5s73	nuclear encoded rRNA 5S 73 [Source:MGI Symbol;Acc:MGI:4421918]	
ENSMUSG00000065937	Gm25627	predicted gene, 25627 [Source:MGI Symbol;Acc:MGI:5455404]	
ENSMUSG00000089296	Gm23205	predicted gene, 23205 [Source:MGI Symbol;Acc:MGI:5452982]	
ENSMUSG00000058019	Ces5a	carboxylesterase 5A [Source:MGI Symbol;Acc:MGI:1915185]	67935
ENSMUSG00000106299	Gm44339	predicted gene, 44339 [Source:MGI Symbol;Acc:MGI:5690731]	
ENSMUSG00000024544	Ldlrad4	low density lipoprotein receptor class A domain containing 4 [Source:MGI Symbol;Acc:MGI:1277150]	52662
ENSMUSG00000077743	n-R5s16	nuclear encoded rRNA 5S 16 [Source:MGI Symbol;Acc:MGI:4421750]	
ENSMUSG00000084644	Gm24379	predicted gene, 24379 [Source:MGI Symbol;Acc:MGI:5454156]	
ENSMUSG00000023949	Tcte1	t-complex-associated testis expressed 1 [Source:MGI Symbol;Acc:MGI:98640]	21645
ENSMUSG00000092731	Gm24026	predicted gene, 24026 [Source:MGI Symbol;Acc:MGI:5453803]	
ENSMUSG00000098857	Gm27395	predicted gene, 27395 [Source:MGI Symbol;Acc:MGI:5530777]	
ENSMUSG00000094704	Gm24487	predicted gene, 24487 [Source:MGI Symbol;Acc:MGI:5454264]	
ENSMUSG00000063804	Lin28b	lin-28 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:3584032]	380669
ENSMUSG00000046556	Zfp319	zinc finger protein 319 [Source:MGI Symbol;Acc:MGI:1890618]	79233
ENSMUSG00000084675	Gm26026	predicted gene, 26026 [Source:MGI Symbol;Acc:MGI:5455803]	
ENSMUSG00000036800	Fam135b	family with sequence similarity 135, member B [Source:MGI Symbol;Acc:MGI:1917613]	70363
ENSMUSG00000061079	Zfp143	zinc finger protein 143 [Source:MGI Symbol;Acc:MGI:1277969]	20841
ENSMUSG00000077401	n-R5s82	nuclear encoded rRNA 5S 82 [Source:MGI Symbol;Acc:MGI:4421930]	
ENSMUSG00000093325	Gm26061	predicted gene, 26061 [Source:MGI Symbol;Acc:MGI:5455838]	
ENSMUSG00000063410	Stk24	serine/threonine kinase 24 [Source:MGI Symbol;Acc:MGI:2385007]	223255
ENSMUSG00000079438	Gm11115	predicted gene 11115 [Source:MGI Symbol;Acc:MGI:3779367]	
ENSMUSG00000077881	Mir882	microRNA 882 [Source:MGI Symbol;Acc:MGI:3718573]	
ENSMUSG00000047669	Msl3l2	male-specific lethal 3-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1920640]	73390
ENSMUSG00000076274	Gm25083	predicted gene, 25083 [Source:MGI Symbol;Acc:MGI:5454860]	
ENSMUSG00000094419	Gm24797	predicted gene, 24797 [Source:MGI Symbol;Acc:MGI:5454574]	
ENSMUSG00000098732	Gm27834	predicted gene, 27834 [Source:MGI Symbol;Acc:MGI:5531216]	
ENSMUSG00000024127	Prepl	prolyl endopeptidase-like [Source:MGI Symbol;Acc:MGI:2441932]	213760
ENSMUSG00000088265	Gm24784	predicted gene, 24784 [Source:MGI Symbol;Acc:MGI:5454561]	
ENSMUSG00000092898	Gm23806	predicted gene, 23806 [Source:MGI Symbol;Acc:MGI:5453583]	
ENSMUSG00000078604	Gm10961	predicted gene 10961 [Source:MGI Symbol;Acc:MGI:3779172]	
ENSMUSG00000088282	Gm23586	predicted gene, 23586 [Source:MGI Symbol;Acc:MGI:5453363]	
ENSMUSG00000022175	Lrp10	low-density lipoprotein receptor-related protein 10 [Source:MGI Symbol;Acc:MGI:1929480]	65107
ENSMUSG00000070023	Gm10283	predicted gene 10283 [Source:MGI Symbol;Acc:MGI:3647628]	
ENSMUSG00000098599	Gm27627	predicted gene, 27627 [Source:MGI Symbol;Acc:MGI:5531009]	
ENSMUSG00000087831	Gm23960	predicted gene, 23960 [Source:MGI Symbol;Acc:MGI:5453737]	
ENSMUSG00000037579	Kcnh3	potassium voltage-gated channel, subfamily H (eag-related), member 3 [Source:MGI Symbol;Acc:MGI:1341723]	16512
ENSMUSG00000075983	Gm24121	predicted gene, 24121 [Source:MGI Symbol;Acc:MGI:5453898]	
ENSMUSG00000098465	Mir1668	microRNA 1668 [Source:MGI Symbol;Acc:MGI:5530972]	
ENSMUSG00000093120	Mir3474	microRNA 3474 [Source:MGI Symbol;Acc:MGI:4441441]	
ENSMUSG00000069911	Fam196b	family with sequence similarity 196, member B [Source:MGI Symbol;Acc:MGI:3643491]	574403
ENSMUSG00000065663	Gm22579	predicted gene, 22579 [Source:MGI Symbol;Acc:MGI:5452356]	
ENSMUSG00000038010	Ccdc138	coiled-coil domain containing 138 [Source:MGI Symbol;Acc:MGI:1923388]	76138
ENSMUSG00000077480	Gm23439	predicted gene, 23439 [Source:MGI Symbol;Acc:MGI:5453216]	
ENSMUSG00000096411	Gm24721	predicted gene, 24721 [Source:MGI Symbol;Acc:MGI:5454498]	
ENSMUSG00000034161	Scx	scleraxis [Source:MGI Symbol;Acc:MGI:102934]	20289
ENSMUSG00000089088	Gm24001	predicted gene, 24001 [Source:MGI Symbol;Acc:MGI:5453778]	
ENSMUSG00000065301	Gm23248	predicted gene, 23248 [Source:MGI Symbol;Acc:MGI:5453025]	
