ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YNR063W	0.64	0.26	0.31	0.4	0.86	0.88	0.92	0.55	0.58	0.18	0.67	0.31	0.59	0.061	0.72	0.91	0.52	0.43	0.0033	0.92	0.57	0.89	0.56	0.55	0.62	0.88	0.95	0.13	0.4	0.8	0.46	0.36	0.43	0.69	0.77	0.81	0.31	0.2	0.49	0.32	0.96	0.62	0.9	0.17	0.89	0.15	0.78	0.81	0.74	0.47	0.72	0.93	0.89	1.9e-08	0.77	0.6	0.93	0.71	0.83	0.03	0.64	0.071	0.65	0.53	0.74	0.53	0.63	0.12	0.39	0.91	0.15	0.69	0.94	0.73	0.42	0.059	0.29	0.44	0.7	0.45	0.072	0.19	0.57	0.39	0.049	0.37	0.74	0.52	0.23	0.48	0.12	0.1	0.44	0.46	0.35	0.62	0.56	0.53	0.39	0.5	0.26	0.86	0.48	0.13	0.88	0.76	0.52	0.99	0.44	0.089	0.092	0.71	0.64
YNR064C	0.2	0.81	0.18	0.69	0.62	0.66	0.9	0.95	0.92	0.36	0.028	0.54	0.79	0.81	0.85	0.12	0.56	0.41	0.92	0.24	0.79	0.56	0.31	0.62	0.93	0.089	0.22	0.79	0.6	0.5	0.54	0.23	0.42	0.54	0.65	0.42	0.54	0.46	0.41	0.3	0.81	0.63	0.15	0.76	0.46	0.066	0.65	0.77	0.73	0.7	0.56	1	0.86	0.74	0.38	0.032	0.34	0.94	0.16	0.14	0.64	0.79	0.75	0.12	0.7	0.84	0.45	0.25	0.13	0.45	0.82	0.97	0.92	0.075	0.53	1	0.96	0.67	0.6	0.77	0.99	0.68	0.23	0.32	0.72	0.58	0.84	0.37	0.59	0.49	0.84	0.65	0.11	0.017	0.3	0.051	0.68	0.86	0.44	0.9	0.41	0.76	0.41	0.34	0.047	1	0.47	0.13	0.54	0.79	0.15	0.67	0.6
YNR065C	0.72	0.42	0.54	0.17	0.47	0.42	0.73	0.99	0.39	0.55	0.66	0.27	0.64	0.31	0.46	0.83	0.49	0.086	0.41	0.53	0.75	0.73	0.19	0.39	0.11	0.54	0.89	0.19	0.76	0.54	0.15	0.38	0.21	0.077	0.54	0.39	0.29	0.24	0.37	0.58	0.74	0.71	0.78	0.38	0.52	0.46	0.66	0.44	0.76	0.93	0.93	0.5	0.3	0.59	0.51	0.63	0.56	0.44	0.85	0.26	0.17	0.47	0.93	0.53	0.37	0.58	0.71	1	0.56	0.55	0.51	0.52	0.82	0.9	0.42	0.4	0.075	0.94	0.95	0.78	0.14	0.14	0.41	0.0063	0.22	0.72	0.66	0.63	0.48	0.62	0.68	0.25	0.32	0.0086	0.44	0.64	0.54	0.54	0.54	0.23	0.15	0.025	0.45	0.34	0.86	0.68	0.55	0.72	0.46	0.67	0.36	0.39	0.72
YNR066C	0.72	0.42	0.54	0.17	0.47	0.42	0.73	0.99	0.39	0.55	0.66	0.27	0.64	0.31	0.46	0.83	0.49	0.086	0.41	0.53	0.75	0.73	0.19	0.39	0.11	0.54	0.89	0.19	0.76	0.54	0.15	0.38	0.21	0.077	0.54	0.39	0.29	0.24	0.37	0.58	0.74	0.71	0.78	0.38	0.52	0.46	0.66	0.44	0.76	0.93	0.93	0.5	0.3	0.59	0.51	0.63	0.56	0.44	0.85	0.26	0.17	0.47	0.93	0.53	0.37	0.58	0.71	1	0.56	0.55	0.51	0.52	0.82	0.9	0.42	0.4	0.075	0.94	0.95	0.78	0.14	0.14	0.41	0.0063	0.22	0.72	0.66	0.63	0.48	0.62	0.68	0.25	0.32	0.0086	0.44	0.64	0.54	0.54	0.54	0.23	0.15	0.025	0.45	0.34	0.86	0.68	0.55	0.72	0.46	0.67	0.36	0.39	0.72
YNR067C	0.69	0.094	0.57	0.059	0.22	0.8	0.69	0.62	0.52	0.43	0.92	0.16	0.013	0.31	0.039	0.71	0.5	0.07	0.097	0.96	0.6	1	0.18	0.2	0.88	0.98	0.78	0.48	0.86	0.39	0.3	0.36	0.59	0.68	0.41	0.86	0.31	0.18	0.18	0.22	0.16	0.35	0.45	0.77	0.89	0.26	0.56	0.52	0.61	1	0.91	0.47	0.33	0.3	0.46	0.21	0.49	0.93	0.4	0.19	0.13	0.7	0.66	0.072	0.048	0.6	0.13	0.35	0.84	0.55	0.33	0.58	0.3	0.85	0.21	0.06	0.075	0.5	0.38	0.75	0.19	0.018	0.95	0.035	0.14	0.65	1	0.2	0.69	0.42	0.54	0.16	0.031	0.45	0.072	0.67	0.85	0.75	0.085	0.76	0.14	0.24	0.5	0.36	0.76	0.88	3e-04	0.83	0.44	0.59	0.72	0.78	0.46
YNR068C	0.73	0.53	0.64	0.51	0.51	0.49	0.68	0.93	0.35	0.66	0.52	0.3	0.78	0.46	0.53	0.088	0.65	0.36	0.2	0.75	0.54	0.87	1	0.54	0.9	0.92	0.91	0.2	0.97	0.5	0.37	0.34	0.67	0.0036	0.39	0.45	0.34	0.24	0.035	0.56	0.83	0.11	0.57	0.97	0.68	0.86	0.62	0.78	0.74	0.65	0.1	1	0.8	0.67	0.089	0.44	0.9	0.97	0.56	0.12	0.26	1	0.72	0.56	0.43	0.63	0.65	1	0.56	0.79	0.42	0.82	0.37	0.84	0.29	0.46	0.52	0.95	0.76	1	0.16	0.03	0.85	1	0.72	1	0.91	0.62	1	0.62	1	0.33	0.34	0.47	0.22	0.011	0.7	0.82	0.53	0.26	0.026	0.00069	0.0018	0.6	0.45	0.88	0.79	0.44	0.036	0.83	0.41	0.77	0.42
YNR069C	0.76	0.73	0.36	0.61	0.68	0.53	0.65	0.97	0.9	0.41	0.23	0.52	0.58	0.2	0.59	0.79	0.37	0.42	0.22	0.49	0.78	0.37	0.53	0.68	0.47	0.52	0.49	0.44	0.93	0.97	0.45	0.42	0.013	0.44	0.83	0.49	0.31	0.19	0.54	0.47	0.81	0.92	0.31	0.85	0.13	0.24	0.54	0.38	0.58	1	0.46	0.9	0.14	0.33	0.62	0.023	0.025	0.7	0.35	0.45	0.46	0.38	0.87	0.59	0.016	0.72	0.61	0.46	0.16	0.24	0.37	0.78	0.62	0.94	0.077	0.16	0.25	0.74	0.58	0.79	0.11	0.084	0.78	0.47	0.34	0.12	1	0.48	0.26	0.71	0.28	0.53	0.25	0.54	0.59	0.87	0.93	0.76	1	0.68	0.11	0.35	0.99	0.31	0.77	0.41	0.63	0.89	0.48	0.75	0.78	0.89	0.61
YNR070W	0.87	0.81	0.3	0.48	0.75	0.65	0.43	0.99	0.96	0.42	0.29	0.19	0.61	0.16	0.69	0.74	0.082	0.49	0.28	0.67	0.74	0.91	0.36	0.41	0.28	0.58	0.4	0.32	0.85	0.85	0.51	0.84	0.1	0.15	0.72	0.53	0.36	0.24	0.72	0.51	0.73	0.79	0.69	0.6	0.51	0.2	0.72	0.79	0.57	0.32	0.44	1	0.81	0.61	0.96	0.23	0.74	0.71	0.57	0.21	0.13	0.31	0.93	0.67	6.5e-05	0.17	0.68	1	0.16	0.035	0.53	0.6	0.6	0.7	0.22	0.54	0.19	0.68	0.53	0.83	0.34	0.37	0.29	0.91	0.21	0.49	0.44	0.73	0.41	0.36	0.48	0.21	0.69	0.28	0.54	0.41	0.47	0.89	0.24	0.66	0.5	0.14	0.079	0.54	0.88	0.27	0.5	0.8	0.55	0.91	0.59	0.46	0.016
YNR071C	0.85	0.02	0.41	0.87	0.97	0.94	0.69	0.98	0.89	0.86	0.42	0.47	0.8	0.88	0.72	1	0.56	0.54	0.85	0.63	0.66	0.93	1	0.99	0.59	0.61	0.29	0.54	0.21	0.39	0.96	0.99	0.36	0.42	0.6	0.96	0.96	0.84	0.97	0.65	0.84	0.69	0.46	0.45	0.68	0.52	0.34	0.98	0.82	0.42	0.55	1	0.14	0.89	0.88	0.37	0.79	0.78	0.83	0.51	0.91	1	0.39	0.45	0.4	0.96	0.84	1	0.17	0.35	0.45	0.93	0.46	0.077	0.58	0.56	0.52	0.93	0.86	1	0.18	0.56	0.83	0.03	0.13	0.18	0.18	0.2	1	0.86	1	0.6	0.23	0.62	0.93	0.014	0.94	0.15	1	0.79	0.66	0.3	0.092	0.64	0.12	0.9	0.59	0.48	0.47	0.18	1.8e-05	0.96	0.51
YNR072W	0.85	0.02	0.41	0.87	0.97	0.94	0.69	0.98	0.89	0.86	0.42	0.47	0.8	0.88	0.72	1	0.56	0.54	0.85	0.63	0.66	0.93	1	0.99	0.59	0.61	0.29	0.54	0.21	0.39	0.96	0.99	0.36	0.42	0.6	0.96	0.96	0.84	0.97	0.65	0.84	0.69	0.46	0.45	0.68	0.52	0.34	0.98	0.82	0.42	0.55	1	0.14	0.89	0.88	0.37	0.79	0.78	0.83	0.51	0.91	1	0.39	0.45	0.4	0.96	0.84	1	0.17	0.35	0.45	0.93	0.46	0.077	0.58	0.56	0.52	0.93	0.86	1	0.18	0.56	0.83	0.03	0.13	0.18	0.18	0.2	1	0.86	1	0.6	0.23	0.62	0.93	0.014	0.94	0.15	1	0.79	0.66	0.3	0.092	0.64	0.12	0.9	0.59	0.48	0.47	0.18	1.8e-05	0.96	0.51
YNR073C	0.65	0.32	0.82	0.72	0.8	0.72	0.51	1	0.77	0.43	0.84	1	0.75	0.58	0.41	0.037	0.3	0.72	0.65	0.65	0.58	0.79	1	0.81	0.7	0.61	0.28	0.25	0.4	0.52	0.46	0.56	0.8	0.11	0.32	0.89	0.57	0.75	0.73	0.85	0.65	0.19	0.59	0.71	0.78	0.68	0.4	0.75	1	0.49	0.68	0.44	0.38	0.64	0.88	0.4	0.59	1	0.73	0.067	0.54	1	0.87	0.57	0.29	0.79	0.6	0.46	0.52	0.4	0.31	0.63	0.46	0.47	0.39	0.94	0.59	0.72	0.67	1	0.45	0.42	0.6	0.51	0.87	0.49	0.35	0.42	0.085	0.62	0.13	0.39	0.46	0.44	0.65	0.17	0.55	1	0.47	0.36	0.28	0.17	0.56	0.66	0.59	0.6	0.78	0.33	0.28	0.58	0.097	0.56	0.53
YNR074C	0.67	0.83	0.34	0.34	0.52	0.38	0.7	0.96	0.32	0.14	0.75	0.69	0.57	0.3	0.58	0.78	0.77	0.56	0.018	0.56	0.71	0.7	0.49	0.44	0.56	0.65	0.59	0.59	0.67	0.087	0.14	0.23	0.0099	0.24	0.65	0.2	0.36	0.29	0.38	0.68	0.56	0.97	0.68	0.78	0.48	0.5	0.39	0.29	0.56	0.92	0.25	0.8	0.41	0.4	0.53	0.56	0.43	0.18	0.57	0.19	0.49	0.15	0.57	0.58	0.2	0.71	0.72	0.084	0.55	0.33	0.45	0.42	0.71	0.4	0.1	0.16	0.21	0.49	0.74	0.61	0.23	0.2	0.23	0.19	0.12	0.041	0.71	0.62	0.4	0.57	0.13	0.47	0.22	0.46	0.23	0.86	0.45	0.71	0.49	0.92	0.15	0.28	0.31	0.25	0.64	0.81	0.55	0.81	0.34	0.39	0.14	0.72	0.026
YNR075W	0.67	0.83	0.34	0.34	0.52	0.38	0.7	0.96	0.32	0.14	0.75	0.69	0.57	0.3	0.58	0.78	0.77	0.56	0.018	0.56	0.71	0.7	0.49	0.44	0.56	0.65	0.59	0.59	0.67	0.087	0.14	0.23	0.0099	0.24	0.65	0.2	0.36	0.29	0.38	0.68	0.56	0.97	0.68	0.78	0.48	0.5	0.39	0.29	0.56	0.92	0.25	0.8	0.41	0.4	0.53	0.56	0.43	0.18	0.57	0.19	0.49	0.15	0.57	0.58	0.2	0.71	0.72	0.084	0.55	0.33	0.45	0.42	0.71	0.4	0.1	0.16	0.21	0.49	0.74	0.61	0.23	0.2	0.23	0.19	0.12	0.041	0.71	0.62	0.4	0.57	0.13	0.47	0.22	0.46	0.23	0.86	0.45	0.71	0.49	0.92	0.15	0.28	0.31	0.25	0.64	0.81	0.55	0.81	0.34	0.39	0.14	0.72	0.026
YNR076W	0.83	0.89	0.44	0.76	0.65	0.46	0.029	0.64	0.91	0.54	0.27	0.69	0.11	0.31	0.87	0.91	0.58	0.73	0.75	0.083	0.92	0.52	0.95	0.7	0.13	0.076	0.0026	0.78	0.78	0.73	0.8	1	0.51	0.45	0.84	0.96	0.64	0.5	0.79	0.89	0.77	0.71	0.31	0.92	0.49	0.096	0.81	0.7	0.74	0.33	0.11	0.94	0.82	0.094	0.57	0.69	0.5	0.65	0.67	0.93	0.93	0.7	0.26	0.86	0.098	0.47	0.46	0.98	0.79	0.0048	0.84	0.71	0.62	0.0045	0.44	0.25	0.15	0.99	0.69	0.75	0.27	0.46	0.49	0.57	0.17	0.65	0.62	0.97	0.49	0.22	0.68	0.75	0.92	0.29	0.7	0.93	0.25	0.96	0.83	0.71	0.34	0.13	0.13	0.88	0.32	0.22	0.81	0.31	0.38	0.93	0.54	0.47	0.15
YOL001W	0.57	0.59	0.56	0.15	0.29	0.011	0.89	0.59	0.64	0.37	0.79	0.052	0.55	0.1	0.35	0.4	0.8	0.2	0.2	0.88	0.42	0.9	0.37	0.72	0.063	0.67	0.077	0.8	0.061	0.38	0.33	0.11	0.79	0.6	0.2	0.8	0.43	0.0064	0.17	0.16	0.27	0.12	0.61	0.064	0.63	0.48	0.91	0.33	0.41	0.45	0.72	0.27	0.77	0.49	0.32	0.76	0.58	0.57	0.71	0.54	0.43	0.12	0.065	0.31	0.34	0.21	0.63	0.33	0.98	0.53	0.19	0.56	0.87	0.84	0.97	0.64	0.95	0.27	0.52	0.027	0.13	0.35	0.85	0.87	0.92	0.64	0.024	0.64	0.45	0.53	0.2	0.67	0.87	0.75	0.15	0.27	0.62	0.62	0.41	0.71	0.21	0.92	1	0.28	0.46	0.44	0.52	0.2	0.56	0.36	0.6	0.18	0.29
YOL002C	0.57	0.59	0.56	0.15	0.29	0.011	0.89	0.59	0.64	0.37	0.79	0.052	0.55	0.1	0.35	0.4	0.8	0.2	0.2	0.88	0.42	0.9	0.37	0.72	0.063	0.67	0.077	0.8	0.061	0.38	0.33	0.11	0.79	0.6	0.2	0.8	0.43	0.0064	0.17	0.16	0.27	0.12	0.61	0.064	0.63	0.48	0.91	0.33	0.41	0.45	0.72	0.27	0.77	0.49	0.32	0.76	0.58	0.57	0.71	0.54	0.43	0.12	0.065	0.31	0.34	0.21	0.63	0.33	0.98	0.53	0.19	0.56	0.87	0.84	0.97	0.64	0.95	0.27	0.52	0.027	0.13	0.35	0.85	0.87	0.92	0.64	0.024	0.64	0.45	0.53	0.2	0.67	0.87	0.75	0.15	0.27	0.62	0.62	0.41	0.71	0.21	0.92	1	0.28	0.46	0.44	0.52	0.2	0.56	0.36	0.6	0.18	0.29
YOL003C	0.71	0.96	0.48	0.069	0.63	0.2	0.95	0.63	0.75	0.57	0.46	0.7	0.77	0.51	0.58	0.54	0.69	0.58	0.75	0.38	0.75	0.17	0.96	0.039	0.84	0.19	0.14	0.36	0.89	0.034	0.25	0.073	0.61	0.22	0.077	0.15	0.47	0.011	0.26	0.13	0.075	0.29	0.75	0.3	0.25	0.47	0.62	0.49	0.54	0.79	0.39	0.46	0.79	0.21	0.15	0.96	0.62	0.34	0.95	0.41	0.94	0.24	0.95	0.58	0.062	0.31	0.3	0.45	1	0.55	0.54	0.1	0.035	0.75	0.38	0.58	0.29	0.97	0.95	1	0.36	0.33	0.51	0.13	0.57	0.65	0.093	0.87	0.54	0.5	0.64	0.018	0.33	0.54	0.057	0.71	0.29	0.89	0.96	0.25	0.062	0.073	0.17	0.37	0.22	0.41	0.51	0.22	0.26	0.44	0.61	0.44	0.028
YOL004W	0.72	0.46	0.2	0.93	0.48	0.73	0.41	0.73	0.92	0.84	0.08	0.55	0.64	0.66	0.87	0.59	0.12	0.55	0.77	0.061	0.84	0.0078	0.67	0.3	0.68	0.094	0.07	0.62	0.57	0.65	0.88	0.7	0.86	0.81	0.72	0.44	0.8	0.52	0.38	0.27	0.82	0.76	0.44	0.54	0.12	0.14	0.58	0.64	0.27	0.43	0.043	0.45	0.44	0.58	0.45	0.051	0.82	0.68	0.31	0.42	0.67	0.83	0.0076	0.75	0.57	0.74	0.56	1	0.24	0.57	0.81	0.00013	0.54	0.054	0.78	0.56	0.8	0.67	0.73	0.61	0.4	0.59	0.79	0.26	0.35	0.6	0.18	0.63	0.81	0.7	0.77	0.76	0.66	1	0.47	0.55	0.84	1	1	0.35	0.83	0.29	0.48	0.69	0.6	0.66	0.75	0.48	0.74	0.62	0.31	0.76	0.068
YOL005C	0.72	0.46	0.2	0.93	0.48	0.73	0.41	0.73	0.92	0.84	0.08	0.55	0.64	0.66	0.87	0.59	0.12	0.55	0.77	0.061	0.84	0.0078	0.67	0.3	0.68	0.094	0.07	0.62	0.57	0.65	0.88	0.7	0.86	0.81	0.72	0.44	0.8	0.52	0.38	0.27	0.82	0.76	0.44	0.54	0.12	0.14	0.58	0.64	0.27	0.43	0.043	0.45	0.44	0.58	0.45	0.051	0.82	0.68	0.31	0.42	0.67	0.83	0.0076	0.75	0.57	0.74	0.56	1	0.24	0.57	0.81	0.00013	0.54	0.054	0.78	0.56	0.8	0.67	0.73	0.61	0.4	0.59	0.79	0.26	0.35	0.6	0.18	0.63	0.81	0.7	0.77	0.76	0.66	1	0.47	0.55	0.84	1	1	0.35	0.83	0.29	0.48	0.69	0.6	0.66	0.75	0.48	0.74	0.62	0.31	0.76	0.068
YOL006C	0.86	0.7	0.49	0.71	0.3	0.76	0.3	0.62	0.86	0.42	0.6	0.26	0.67	0.68	0.77	0.56	0.81	0.85	0.43	0.4	0.88	1	0.62	0.67	0.79	0.57	0.11	0.52	0.78	0.94	0.98	0.57	0.79	0.81	0.63	0.37	0.96	0.46	0.57	0.23	0.19	0.34	0.67	0.33	0.068	0.39	0.73	0.52	0.03	0.19	0.66	0.079	0.47	0.46	0.52	0.14	0.8	0.37	0.47	0.77	0.57	0.75	0.58	0.52	0.6	0.49	0.65	0.55	0.51	0.42	0.11	3e-04	0.86	0.078	0.47	0.87	0.99	0.16	0.19	0.72	0.52	0.9	0.47	0.16	0.3	0.8	0.24	0.35	0.76	0.83	0.83	0.61	0.44	0.68	0.22	0.6	0.81	0.074	0.45	0.56	0.75	0.73	0.34	0.73	1	0.58	0.75	0.064	0.91	0.53	0.45	0.46	0.82
YOL007C	0.73	1	0.93	0.84	0.22	0.77	0.42	0.59	0.29	0.94	0.54	0.84	0.39	0.99	0.65	0.039	0.88	0.66	0.9	0.7	0.71	1	1	0.82	0.64	0.63	0.38	0.7	0.86	0.77	0.62	0.41	0.89	0.73	0.84	0.23	0.9	0.57	0.62	0.42	0.53	0.52	0.44	0.4	0.3	0.092	0.47	0.82	0.92	0.45	0.58	0.43	0.69	0.61	0.16	0.064	0.58	0.43	0.55	0.45	0.86	0.64	0.76	0.77	0.47	0.63	0.55	0.36	0.61	0.53	0.96	0.8	0.54	0.07	0.45	0.85	0.068	0.53	0.76	0.76	0.5	0.87	0.9	0.015	0.056	0.89	0.96	0.84	0.82	0.51	0.37	0.77	7.7e-05	1	0.32	0.75	0.88	1	0.78	0.098	0.9	0.93	0.26	0.51	0.75	0.86	0.44	0.7	0.82	0.87	0.8	0.79	0.25
YOL008W	0.67	0.81	0.56	0.47	0.47	0.39	0.49	0.74	0.35	0.69	0.52	0.18	0.8	0.92	0.71	0.37	0.58	0.58	0.79	0.2	0.61	0.75	1	0.29	1	0.38	0.42	0.58	0.97	0.67	0.57	0.36	0.54	0.34	0.5	0.7	0.5	0.5	0.37	0.54	0.9	0.42	0.64	0.23	0.9	0.72	0.47	0.8	0.72	0.4	0.54	0.47	0.6	0.47	0.53	0.9	0.51	0.8	0.78	0.43	0.89	1	0.42	0.94	0.28	0.58	0.61	0.49	0.94	0.85	0.8	0.41	0.089	0.23	0.82	0.65	0.59	0.65	0.8	1	0.57	0.48	0.93	0.22	0.48	0.43	0.55	0.66	0.11	0.85	0.55	0.25	0.031	0.52	0.37	0.13	0.65	0.57	0.79	0.46	0.069	0.65	0.8	0.75	0.18	0.57	0.77	0.16	0.084	0.44	0.8	0.77	0.05
YOL009C	0.67	0.81	0.56	0.47	0.47	0.39	0.49	0.74	0.35	0.69	0.52	0.18	0.8	0.92	0.71	0.37	0.58	0.58	0.79	0.2	0.61	0.75	1	0.29	1	0.38	0.42	0.58	0.97	0.67	0.57	0.36	0.54	0.34	0.5	0.7	0.5	0.5	0.37	0.54	0.9	0.42	0.64	0.23	0.9	0.72	0.47	0.8	0.72	0.4	0.54	0.47	0.6	0.47	0.53	0.9	0.51	0.8	0.78	0.43	0.89	1	0.42	0.94	0.28	0.58	0.61	0.49	0.94	0.85	0.8	0.41	0.089	0.23	0.82	0.65	0.59	0.65	0.8	1	0.57	0.48	0.93	0.22	0.48	0.43	0.55	0.66	0.11	0.85	0.55	0.25	0.031	0.52	0.37	0.13	0.65	0.57	0.79	0.46	0.069	0.65	0.8	0.75	0.18	0.57	0.77	0.16	0.084	0.44	0.8	0.77	0.05
YOL010W	0.56	0.8	0.44	0.19	0.35	0.7	0.48	0.53	0.31	0.42	0.62	0.37	0.42	0.49	0.66	0.44	0.77	0.54	0.17	0.62	0.42	0.69	0.74	0.47	0.76	0.66	0.84	0.69	0.45	0.11	0.4	0.59	0.5	0.3	0.56	0.034	0.6	0.18	0.16	0.044	0.42	0.15	0.57	0.56	0.012	0.0048	0.66	0.65	0.56	0.47	0.81	0.22	0.46	0.042	0.42	0.48	0.9	0.52	0.45	0.22	0.18	0.051	0.76	0.62	0.54	0.52	0.55	0.2	0.77	0.86	0.38	0.32	0.094	0.91	0.14	0.52	0.28	0.4	0.72	0.8	0.54	0.88	0.26	0.12	0.61	0.28	0.49	0.83	0.35	0.41	0.3	0.29	0.42	0.51	0.28	0.81	0.41	0.5	0.73	0.26	0.52	0.14	0.51	0.44	0.92	0.72	0.15	0.88	0.59	0.85	0.36	0.22	0.81
YOL011W	0.22	0.85	0.91	0.92	0.97	0.96	0.036	0.78	0.92	0.96	0.033	0.96	0.61	0.69	0.71	0.78	0.44	0.81	0.93	0.091	0.84	0.42	0.39	0.94	0.82	0.14	0.28	0.53	0.89	0.51	0.94	0.45	0.58	0.97	0.89	0.91	0.9	0.91	0.78	0.41	0.8	0.96	0.029	0.99	0.011	0.024	0.6	0.7	0.35	0.021	0.06	0.56	0.3	0.063	0.91	0.18	0.39	0.8	0.62	0.94	0.75	0.89	0.032	0.17	0.91	0.94	0.34	0.9	0.065	0.3	0.93	0.28	0.93	0.079	0.96	0.42	0.87	0.87	0.52	0.8	0.41	0.76	0.85	0.84	0.11	0.76	0.52	0.5	0.84	0.83	0.84	0.53	0.28	0.71	0.88	0.89	0.94	4.9e-05	0.3	0.31	0.93	0.6	0.6	0.62	0.38	0.91	0.82	0.19	0.97	0.96	0.44	0.99	0.4
YOL012C	0.22	0.85	0.91	0.92	0.97	0.96	0.036	0.78	0.92	0.96	0.033	0.96	0.61	0.69	0.71	0.78	0.44	0.81	0.93	0.091	0.84	0.42	0.39	0.94	0.82	0.14	0.28	0.53	0.89	0.51	0.94	0.45	0.58	0.97	0.89	0.91	0.9	0.91	0.78	0.41	0.8	0.96	0.029	0.99	0.011	0.024	0.6	0.7	0.35	0.021	0.06	0.56	0.3	0.063	0.91	0.18	0.39	0.8	0.62	0.94	0.75	0.89	0.032	0.17	0.91	0.94	0.34	0.9	0.065	0.3	0.93	0.28	0.93	0.079	0.96	0.42	0.87	0.87	0.52	0.8	0.41	0.76	0.85	0.84	0.11	0.76	0.52	0.5	0.84	0.83	0.84	0.53	0.28	0.71	0.88	0.89	0.94	4.9e-05	0.3	0.31	0.93	0.6	0.6	0.62	0.38	0.91	0.82	0.19	0.97	0.96	0.44	0.99	0.4
YOL013C	0.59	0.6	0.28	0.59	0.55	0.5	0.12	0.87	0.53	0.59	0.15	0.73	0.54	0.25	0.45	0.63	0.13	0.55	0.71	0.15	0.56	0.45	0.55	0.73	0.35	0.092	0.15	0.43	0.67	0.68	0.48	1	0.75	0.15	0.48	0.51	0.74	0.38	0.37	0.9	0.77	0.63	0.45	0.68	0.082	0.52	0.69	0.48	0.36	0.025	0.053	0.75	0.85	0.86	0.36	0.41	0.22	0.69	0.43	0.23	0.45	0.7	0.12	0.55	0.75	0.56	0.75	0.5	0.41	0.62	0.7	0.77	0.53	0.36	0.55	0.63	0.27	0.17	0.93	0.74	0.36	0.46	0.42	0.7	0.57	0.39	0.42	0.65	0.62	0.67	0.73	0.48	0.68	0.75	0.45	0.64	0.79	0.85	0.49	0.34	0.13	0.14	0.35	0.86	0.45	0.4	0.74	0.6	0.16	0.85	0.51	0.74	0.16
YOL013W-A	0.73	0.42	0.28	0.43	0.49	0.43	0.74	0.09	0.96	0.23	0.64	0.62	0.66	0.042	0.63	0.64	0.83	0.29	0.18	0.87	0.71	0.68	0.96	0.078	0.37	0.96	0.63	0.078	0.1	0.72	0.042	0.59	0.24	0.45	0.51	0.87	0.02	0.74	0.37	0.18	0.2	0.76	0.95	0.85	0.25	0.13	0.6	0.14	0.27	0.67	0.94	0.23	0.58	0.046	0.29	0.71	0.75	0.08	0.75	0.73	0.42	0.98	0.8	0.63	0.065	0.6	0.29	0.53	0.86	0.71	0.0017	0.041	0.91	0.49	0.52	0.071	0.14	0.15	0.66	0.089	0.58	0.035	0.44	0.12	0.039	0.92	0.72	0.92	0.97	0.52	0.91	0.1	0.57	0.18	0.18	0.33	0.12	0.34	0.85	0.49	0.19	0.46	0.73	0.0068	0.86	0.47	0.65	0.74	0.53	0.073	0.19	0.45	0.59
YOL014W	0.77	0.71	0.78	0.64	0.58	0.15	0.13	0.57	0.63	0.16	0.12	0.61	0.78	0.38	0.72	0.67	0.33	0.92	0.42	0.1	0.73	0.77	0.57	0.42	0.34	0.25	0.31	0.84	0.93	0.34	0.45	0.58	0.71	0.28	0.81	0.8	0.73	0.22	0.83	0.57	0.88	0.64	0.28	0.18	0.74	0.33	0.55	0.68	0.35	0.09	0.088	0.49	0.68	0.64	0.23	0.52	0.93	0.44	0.61	0.86	0.77	0.65	0.18	0.9	0.16	0.42	0.59	0.32	0.71	0.32	0.55	0.57	0.9	0.37	0.38	0.29	0.44	0.91	0.86	0.89	0.15	0.25	0.65	0.3	0.092	0.4	0.96	0.53	0.66	0.11	0.61	0.44	0.26	0.67	0.53	0.83	0.72	0.7	0.13	0.51	0.45	0.1	0.66	0.76	0.53	0.23	0.64	0.13	0.52	0.72	0.54	0.39	0.19
