	A32_Cntrl	A36_Cntrl	A37_Cntrl	A39_Cntrl	A50_Cntrl	A33_KO	A35_KO	A51_KO
ENSMUSG00000061702.6	18.2740527317626	54.8207908200812	21.9137357248723	26.0680680328928	38.2777591199981	40.4524335642617	39.0477637124631	33.9159622204017
ENSMUSG00000061707.4	0	0	0	0	0	0	0	0
ENSMUSG00000061718.8	0	0.913679847001353	0	6.9514848087714	3.37744933411748	0	0	0
ENSMUSG00000061723.13	3.78083849622675	6.39575892900947	19.1745187592632	5.21361360657855	0	6.74207226071028	32.882327336811	14.2228228666201
ENSMUSG00000061731.5	264.028554986501	200.095886493296	223.246182697136	226.792191886167	112.581644470583	157.957121536641	125.363872971592	204.589836619843
ENSMUSG00000061740.7	35.287825964783	52.9934311260785	35.6098205529174	59.0876208745569	36.0261262305864	18.2999104219279	25.6893182318836	61.2675446562096
ENSMUSG00000061742.7	0	0	0	0	0	5.77891908060881	3.08271818782603	0
ENSMUSG00000061751.11	221.809191778636	324.35634568548	450.601190842686	306.734267187038	426.684432543508	935.221737878526	881.657401718245	1013.10261342232
ENSMUSG00000061755.7	921.894453329956	935.608163329385	1113.49169652007	1080.08695216286	1057.14164157877	524.918483155301	477.821319113035	575.477294449397
ENSMUSG00000061758.9	53.5618786965456	40.2019132680595	26.0225611732858	27.8059392350856	55.1650057905855	5.77891908060881	4.11029091710138	5.47031648716157
ENSMUSG00000061759.11	23.9453104761027	29.2377551040433	4.10882544841355	14.7719052186392	19.138879559999	24.0788295025367	12.3308727513041	6.56437978459388
ENSMUSG00000061762.8	0	0	0	0	0	3.85261272040588	4.11029091710138	4.37625318972926
ENSMUSG00000061769.2	0	0	0	0	0	0	0	0
ENSMUSG00000061777.2	0	0	0	0	0	0	0	0
ENSMUSG00000061778.6	56.0824376940301	20.1009566340298	13.6960848280452	16.5097764208321	15.7614302258816	12.5209913413191	5.13786364637672	8.75250637945851
ENSMUSG00000061780.5	0	0	0	0	0	0	0	0
ENSMUSG00000061787.10	20.7946117292471	18.2735969400271	49.3059053809626	30.4127460383749	22.5163288941165	43.3418931045661	51.3786364637672	27.3515824358079
ENSMUSG00000061798.1	0	0	0	0	0	0	0	0
ENSMUSG00000061802.5	0.630139749371125	0	0	0	6.75489866823496	16.373604061725	0	4.37625318972926
ENSMUSG00000061808.3	0.630139749371125	0	20.5441272420677	3.4757424043857	0	1.92630636020294	0	1.09406329743231
ENSMUSG00000061809.4	0	0	0	0	0	0	0	0
ENSMUSG00000061815.7	34.6576862154119	30.1514349510446	79.4372920026619	61.6944276778462	45.032657788233	73.1996416877116	135.639600264345	107.218203148367
ENSMUSG00000061816.11	6.30139749371125	6.39575892900947	1.36960848280452	19.1165832241214	16.8872466705874	20.2262167821309	70.9025183199987	20.787202651214
ENSMUSG00000061825.5	0	0	0	0	0	0	0	0
ENSMUSG00000061829.3	0	0	0	0	0	0	0	0
ENSMUSG00000061838.5	41.5892234584942	28.3240752570419	41.0882544841355	24.3301968306999	52.9133729011738	19.2630636020294	14.3860182098548	13.1287595691878
ENSMUSG00000061845.3	0	0	0	0	0	0	0	0
ENSMUSG00000061847.2	0	0	0	0	0	0	0	0
ENSMUSG00000061859.12	123.50739087674	130.656218121193	169.83145186776	165.966699809417	115.9590938047	136.767751574409	75.0128092371001	89.7131903894497
ENSMUSG00000061864.8	0	0	0	0	0	0	0	0
ENSMUSG00000061875.1	0	0	0	0	0	0	0	0
ENSMUSG00000061877.8	0	0	0	0	0	0	0	0
ENSMUSG00000061878.11	3.15069874685562	3.65471938800541	0	0.868935601096425	6.75489866823496	30.820901763247	40.0753364417384	77.6784941176943
ENSMUSG00000061882.8	30.8768477191851	36.5471938800541	34.2402120701129	57.3497496723641	23.6421453388223	30.820901763247	44.1856273588398	53.6091015741834
ENSMUSG00000061887.10	85.0688661651019	113.296301028168	156.135367039715	108.616950137053	162.117568037639	95.3521648300454	99.6745547397084	83.1488106048559
ENSMUSG00000061894.11	34.0275464660407	56.6481505140839	56.1539477949852	92.1071737162211	75.4297017952904	13.4841445214206	14.3860182098548	48.1387850870218
ENSMUSG00000061898.6	85.0688661651019	57.5618303610852	52.0451223465716	50.3982648635927	34.9003097858806	16.373604061725	33.9099000660864	49.2328483844541
ENSMUSG00000061904.8	1709.56914004386	1972.63478967592	1810.62241426757	1973.35275008998	1956.66898089873	2020.69537185288	1682.13655782374	1642.1890094459
ENSMUSG00000061906.5	0	0	0	0	0	0	0	0
ENSMUSG00000061911.10	1.89041924811337	0	0	0.868935601096425	0	3.85261272040588	0	0
ENSMUSG00000061923.4	0	0	0	0	0	0	5.13786364637672	0
ENSMUSG00000061928.6	0	0	0	0	0	0	0	0
ENSMUSG00000061937.3	0	0	0	0	0	0	0	0
ENSMUSG00000061947.6	0	0	0	0	0	0	0	0
ENSMUSG00000061950.13	370.522172630221	486.07767860472	625.911076641664	531.788587871012	500.988317894093	736.812182777624	704.914892282886	750.527422038567
ENSMUSG00000061952.3	0	0	0	0	0	0	0	0
ENSMUSG00000061958.5	0	0	0	0	0	0	0	0
ENSMUSG00000061959.9	11.9726552380514	16.4462372460243	26.0225611732858	17.3787120219285	30.3970440070573	7.70522544081175	25.6893182318836	5.47031648716157
ENSMUSG00000061961.1	0	0	0	0	0	0	0	0
ENSMUSG00000061969.6	0	0	0	0	0	0	0	0
ENSMUSG00000061972.2	0	0	1.36960848280452	0	0	0.963153180101469	0	0
ENSMUSG00000061974.2	1.89041924811337	3.65471938800541	2.73921696560903	2.60680680328928	0	11.5578381612176	8.22058183420275	1.09406329743231
ENSMUSG00000061977.2	0	0	0	0	0	0	0	0
ENSMUSG00000061979.4	51.6714594484322	68.5259885251015	106.829461658752	125.995662158982	79.9329675741137	76.0891012280161	91.4539729055056	85.3369371997205
ENSMUSG00000061981.10	88.8497046613286	63.0439094430933	139.700065246061	147.719052186392	108.078378691759	46.2313526448705	100.702127468984	106.124139850934
ENSMUSG00000061983.6	10.7123757393091	10.9641581640162	5.47843393121806	6.9514848087714	23.6421453388223	15.4104508816235	14.3860182098548	4.37625318972926
ENSMUSG00000061984.4	0	0	0	0	0	0	0	0
ENSMUSG00000061991.2	0	0	0	0	0	0	0	0
ENSMUSG00000062006.8	20.7946117292471	43.8566326560649	108.199070141557	39.9710376504356	70.9264360164671	76.0891012280161	75.0128092371001	40.4803420049956
ENSMUSG00000062007.8	0	0	0	0	0	0	0	0
ENSMUSG00000062012.9	10.082235989938	7.30943877601082	16.4353017936542	18.2476476230249	3.37744933411748	6.74207226071028	3.08271818782603	0
ENSMUSG00000062014.8	109.014176641205	82.2311862301218	64.3715986918123	83.4178177052568	50.6617400117622	250.419826826382	166.466782142606	193.64920364552
ENSMUSG00000062017.10	0	0	0	0.868935601096425	0	0	0	0
ENSMUSG00000062028.7	0	0	0	0	0	0	2.05514545855069	0
ENSMUSG00000062031.8	15.123353984907	11.8778380110176	2.73921696560903	22.5923256285071	18.0130631152932	12.5209913413191	6.16543637565206	24.0693925435109
ENSMUSG00000062037.2	0	0	0	0	0	0	1.02757272927534	0
ENSMUSG00000062038.4	1.26027949874225	0.913679847001353	0	4.34467800548213	0	0.963153180101469	1.02757272927534	2.18812659486463
