name	ensembl_gene_id	external_gene_name
SRR1258429.filtered.BAM_peak_3665	ENSMUSG00000021702	Thbs4
SRR1258429.filtered.BAM_peak_3693	ENSMUSG00000021712	Trim23
SRR1258429.filtered.BAM_peak_3751	ENSMUSG00000021737	Psmd6
SRR1258429.filtered.BAM_peak_3721	ENSMUSG00000021764	Ndufs4
SRR1258429.filtered.BAM_peak_3757	ENSMUSG00000021774	Ube2e1
SRR1258429.filtered.BAM_peak_3763	ENSMUSG00000021809	Nudt13
SRR1258429.filtered.BAM_peak_3764	ENSMUSG00000021810	Ecd
SRR1258429.filtered.BAM_peak_3765	ENSMUSG00000021811	Dnajc9
SRR1258429.filtered.BAM_peak_3767	ENSMUSG00000034235	Usp54
SRR1258429.filtered.BAM_peak_3769	ENSMUSG00000021819	Zswim8
SRR1258429.filtered.BAM_peak_3809	ENSMUSG00000021832	Psmc6
SRR1258429.filtered.BAM_peak_3799	ENSMUSG00000021905	Dph3
SRR1258429.filtered.BAM_peak_3799	ENSMUSG00000021906	Oxnad1
SRR1258429.filtered.BAM_peak_3801	ENSMUSG00000021911	Parg
SRR1258429.filtered.BAM_peak_3870	ENSMUSG00000021958	Pinx1
SRR1258429.filtered.BAM_peak_3791	ENSMUSG00000021962	Dcp1a
SRR1258429.filtered.BAM_peak_3874	ENSMUSG00000021972	Hmbox1
SRR1258429.filtered.BAM_peak_3858	ENSMUSG00000021982	Cdadc1
SRR1258429.filtered.BAM_peak_3893	ENSMUSG00000022000	Zc3h13
SRR1258429.filtered.BAM_peak_3896	ENSMUSG00000022008	Gpalpp1
SRR1258429.filtered.BAM_peak_3896	ENSMUSG00000022009	Nufip1
SRR1258429.filtered.BAM_peak_3877	ENSMUSG00000022031	Elp3
SRR1258429.filtered.BAM_peak_3934	ENSMUSG00000022130	Tgds
SRR1258429.filtered.BAM_peak_3945	ENSMUSG00000022151	Ttc33
SRR1258429.filtered.BAM_peak_3954	ENSMUSG00000022247	Brix1
SRR1258429.filtered.BAM_peak_3954	ENSMUSG00000022248	Rad1
SRR1258429.filtered.BAM_peak_3982	ENSMUSG00000022295	Atp6v1c1
SRR1258429.filtered.BAM_peak_4013	ENSMUSG00000022354	Ndufb9
SRR1258429.filtered.BAM_peak_4093	ENSMUSG00000022386	Trmu
SRR1258429.filtered.BAM_peak_4071	ENSMUSG00000022414	Tab1
SRR1258429.filtered.BAM_peak_4069	ENSMUSG00000022427	Tomm22
SRR1258429.filtered.BAM_peak_4112	ENSMUSG00000022451	Twf1
SRR1258429.filtered.BAM_peak_4083	ENSMUSG00000022477	Aco2
SRR1258429.filtered.BAM_peak_4169	ENSMUSG00000022515	Anks3
SRR1258429.filtered.BAM_peak_4168	ENSMUSG00000022517	Mgrn1
SRR1258429.filtered.BAM_peak_4175	ENSMUSG00000022711	Pmm2
SRR1258429.filtered.BAM_peak_4246	ENSMUSG00000022774	Ncbp2
SRR1258429.filtered.BAM_peak_4202	ENSMUSG00000022779	Top3b
SRR1258429.filtered.BAM_peak_4248	ENSMUSG00000022787	Wdr53
SRR1258429.filtered.BAM_peak_4200	ENSMUSG00000022789	Dnm1l
SRR1258429.filtered.BAM_peak_4260	ENSMUSG00000022837	Iqcb1
SRR1258429.filtered.BAM_peak_4342	ENSMUSG00000022857	Tmprss15
SRR1258429.filtered.BAM_peak_4235	ENSMUSG00000022881	Rfc4
SRR1258429.filtered.BAM_peak_4369	ENSMUSG00000022956	Atp5o
SRR1258429.filtered.BAM_peak_4146	ENSMUSG00000023051	Tarbp2
SRR1258429.filtered.BAM_peak_4149	ENSMUSG00000023055	Calcoco1
SRR1258429.filtered.BAM_peak_6557	ENSMUSG00000023089	Ndufa5
SRR1258429.filtered.BAM_peak_4170	ENSMUSG00000023143	Nagpa
SRR1258429.filtered.BAM_peak_6151	ENSMUSG00000023286	Ube2j2
SRR1258429.filtered.BAM_peak_4525	ENSMUSG00000023952	Gtpbp2
SRR1258429.filtered.BAM_peak_4519	ENSMUSG00000023961	Enpp4
SRR1258429.filtered.BAM_peak_4524	ENSMUSG00000023967	Mrps18a
SRR1258429.filtered.BAM_peak_4594	ENSMUSG00000024072	Yipf4
SRR1258429.filtered.BAM_peak_4468	ENSMUSG00000024218	Taf11
SRR1258429.filtered.BAM_peak_4635	ENSMUSG00000024234	Mtpap
SRR1258429.filtered.BAM_peak_4640	ENSMUSG00000006740	Kif5b
SRR1258429.filtered.BAM_peak_4611	ENSMUSG00000024253	Dync2li1
SRR1258429.filtered.BAM_peak_4682	ENSMUSG00000024271	Elp2
SRR1258429.filtered.BAM_peak_4654	ENSMUSG00000024287	Thoc1
SRR1258429.filtered.BAM_peak_4494	ENSMUSG00000024319	Vps52
SRR1258429.filtered.BAM_peak_4691	ENSMUSG00000024382	Ercc3
SRR1258429.filtered.BAM_peak_4690	ENSMUSG00000024384	Iws1
SRR1258429.filtered.BAM_peak_4504	ENSMUSG00000024392	Bag6
SRR1258429.filtered.BAM_peak_4720	ENSMUSG00000024456	Diaph1
SRR1258429.filtered.BAM_peak_4740	ENSMUSG00000024477	Pggt1b
SRR1258429.filtered.BAM_peak_4783	ENSMUSG00000024524	Gnal
SRR1258429.filtered.BAM_peak_4769	ENSMUSG00000024604	Rbm22
SRR1258429.filtered.BAM_peak_4770	ENSMUSG00000024608	Rps14
SRR1258429.filtered.BAM_peak_4817	ENSMUSG00000024644	Cndp2
SRR1258429.filtered.BAM_peak_4818	ENSMUSG00000024645	Timm21
SRR1258429.filtered.BAM_peak_4881	ENSMUSG00000024660	Incenp
SRR1258429.filtered.BAM_peak_4891	ENSMUSG00000024732	Ccdc86
SRR1258429.filtered.BAM_peak_4857	ENSMUSG00000024791	Cdca5
